latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-4.956063,120.024704,0.0,28800,Asia/Makassar,GMT+8

time,temperature_2m (°C),temperature_80m (°C),soil_temperature_0cm (°C),soil_temperature_6cm (°C),soil_temperature_18cm (°C),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³),soil_moisture_3_to_9cm (m³/m³),soil_moisture_9_to_27cm (m³/m³)
2026-05-20T00:00,25.6,24.0,24.1,24.4,25.5,0.366,0.371,0.381,0.386
2026-05-20T01:00,25.7,23.9,23.8,24.2,25.4,0.366,0.370,0.378,0.386
2026-05-20T02:00,26.0,26.8,23.8,25.8,27.3,0.364,0.368,0.376,0.368
2026-05-20T03:00,25.7,26.6,23.5,25.6,27.2,0.362,0.366,0.373,0.368
2026-05-20T04:00,25.4,26.4,23.3,25.5,27.1,0.360,0.364,0.371,0.369
2026-05-20T05:00,25.5,26.3,23.4,25.4,27.0,0.359,0.362,0.369,0.369
2026-05-20T06:00,25.3,26.4,23.1,25.4,26.9,0.357,0.360,0.367,0.369
2026-05-20T07:00,26.2,26.7,26.3,25.4,26.8,0.356,0.359,0.366,0.369
2026-05-20T08:00,27.1,27.1,27.9,25.9,26.7,0.353,0.357,0.364,0.368
2026-05-20T09:00,28.1,27.5,30.0,26.9,26.7,0.350,0.355,0.362,0.368
2026-05-20T10:00,28.0,27.9,30.0,27.8,26.8,0.346,0.351,0.360,0.367
2026-05-20T11:00,28.5,28.1,30.0,28.5,26.9,0.343,0.348,0.358,0.366
2026-05-20T12:00,26.8,28.3,27.3,29.1,27.1,0.339,0.345,0.355,0.365
2026-05-20T13:00,26.6,28.7,26.6,29.7,27.3,0.335,0.342,0.353,0.364
2026-05-20T14:00,27.5,28.8,27.8,29.9,27.5,0.331,0.338,0.351,0.363
2026-05-20T15:00,28.0,28.8,28.6,30.1,27.6,0.329,0.336,0.348,0.362
2026-05-20T16:00,27.5,28.5,27.9,29.8,27.8,0.328,0.334,0.346,0.361
2026-05-20T17:00,27.1,28.1,27.1,29.3,27.9,0.328,0.333,0.345,0.360
2026-05-20T18:00,26.1,27.7,25.4,28.7,28.0,0.329,0.333,0.344,0.360
2026-05-20T19:00,25.6,27.5,24.9,28.0,28.0,0.330,0.333,0.343,0.359
2026-05-20T20:00,25.3,27.3,24.7,27.4,28.0,0.331,0.334,0.342,0.358
2026-05-20T21:00,25.0,27.2,23.9,27.0,27.9,0.332,0.334,0.342,0.358
2026-05-20T22:00,25.1,27.2,23.7,26.7,27.8,0.332,0.334,0.342,0.357
2026-05-20T23:00,25.0,27.3,23.6,26.4,27.7,0.332,0.334,0.341,0.357
2026-05-21T00:00,25.0,27.2,23.6,26.2,27.6,0.332,0.334,0.341,0.356
2026-05-21T01:00,25.0,27.1,23.8,26.0,27.5,0.332,0.334,0.341,0.356
2026-05-21T02:00,24.9,26.9,23.7,25.9,27.4,0.332,0.334,0.340,0.355
2026-05-21T03:00,24.5,26.9,23.5,25.9,27.3,0.332,0.334,0.340,0.355
2026-05-21T04:00,24.4,27.0,23.4,25.8,27.2,0.332,0.334,0.340,0.354
2026-05-21T05:00,24.3,27.1,23.3,25.7,27.1,0.332,0.334,0.340,0.354
2026-05-21T06:00,24.2,27.1,23.1,25.7,27.0,0.332,0.334,0.340,0.353
2026-05-21T07:00,25.7,27.2,25.6,25.7,26.9,0.331,0.334,0.339,0.353
2026-05-21T08:00,27.4,27.3,28.4,26.4,26.9,0.330,0.333,0.339,0.352
2026-05-21T09:00,28.9,27.8,30.9,27.3,26.9,0.326,0.331,0.338,0.351
2026-05-21T10:00,29.9,28.0,32.2,28.0,27.0,0.323,0.328,0.337,0.350
2026-05-21T11:00,30.5,28.4,32.7,28.9,27.1,0.318,0.325,0.335,0.349
2026-05-21T12:00,30.8,28.4,32.8,29.4,27.3,0.315,0.322,0.333,0.348
2026-05-21T13:00,30.9,28.3,32.8,29.9,27.4,0.311,0.319,0.332,0.347
2026-05-21T14:00,30.6,28.2,32.3,30.2,27.6,0.308,0.317,0.330,0.346
2026-05-21T15:00,30.3,28.6,31.3,30.5,27.8,0.305,0.314,0.328,0.345
2026-05-21T16:00,30.0,28.8,30.3,30.4,28.0,0.304,0.312,0.327,0.344
2026-05-21T17:00,29.1,28.7,28.7,30.0,28.2,0.305,0.311,0.326,0.343
2026-05-21T18:00,27.4,28.4,26.3,29.3,28.3,0.306,0.311,0.325,0.343
2026-05-21T19:00,26.8,28.1,25.1,28.4,28.3,0.308,0.312,0.324,0.342
2026-05-21T20:00,26.5,27.9,24.5,27.7,28.3,0.310,0.313,0.324,0.342
2026-05-21T21:00,26.6,27.7,24.2,27.1,28.2,0.311,0.314,0.323,0.341
2026-05-21T22:00,26.9,27.5,24.0,26.7,28.1,0.312,0.314,0.323,0.341
2026-05-21T23:00,26.9,27.2,23.9,26.5,28.0,0.313,0.315,0.323,0.340
2026-05-22T00:00,26.7,27.0,23.7,26.3,27.8,0.313,0.315,0.323,0.340
2026-05-22T01:00,26.3,26.8,23.6,26.1,27.7,0.314,0.316,0.323,0.339
2026-05-22T02:00,26.0,26.7,23.4,26.0,27.6,0.315,0.316,0.322,0.339
2026-05-22T03:00,25.7,26.7,23.6,25.8,27.5,0.315,0.317,0.322,0.339
2026-05-22T04:00,25.7,26.8,24.2,25.7,27.3,0.315,0.317,0.322,0.338
2026-05-22T05:00,24.4,26.9,24.0,25.5,27.2,0.316,0.317,0.322,0.338
2026-05-22T06:00,24.4,27.0,24.3,25.4,27.1,0.316,0.317,0.322,0.338
2026-05-22T07:00,24.9,27.1,24.9,25.4,27.0,0.316,0.318,0.322,0.337
2026-05-22T08:00,25.4,27.2,25.8,26.3,26.9,0.314,0.317,0.322,0.337
2026-05-22T09:00,27.2,27.8,28.5,27.6,26.9,0.310,0.315,0.322,0.336
2026-05-22T10:00,28.0,28.3,29.9,28.6,27.0,0.305,0.312,0.320,0.335
2026-05-22T11:00,29.0,28.9,32.3,29.5,27.2,0.300,0.309,0.319,0.334
2026-05-22T12:00,29.5,29.1,33.2,30.1,27.4,0.295,0.305,0.317,0.333
2026-05-22T13:00,30.3,29.1,33.9,30.6,27.6,0.291,0.302,0.316,0.331
2026-05-22T14:00,28.2,29.0,30.0,30.8,27.9,0.287,0.299,0.314,0.330
2026-05-22T15:00,27.0,28.7,27.4,30.8,28.1,0.285,0.296,0.313,0.330
2026-05-22T16:00,27.1,28.4,27.2,30.5,28.3,0.284,0.294,0.311,0.329
2026-05-22T17:00,27.0,27.9,26.9,30.0,28.4,0.286,0.294,0.310,0.328
2026-05-22T18:00,26.4,27.5,26.1,29.3,28.5,0.288,0.294,0.310,0.328
